question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
2,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
3,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.25,0.25,0.25
5,NTSB,0.0,0.0,0.0,0.0,1.0,0.0
6,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.3333333333333333,0.4,0.3636363636363636
7,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
8,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
9,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,1.0,1.0,1.0
10,NYSED_SRC2022,1.0,1.0,1.0,1.0,0.6666666666666666,0.8
11,CratersWildlifeObservations,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
12,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,0.08333333333333333,0.5,0.14285714285714285,0.5,0.3333333333333333,0.4
15,KlamathInvasiveSpecies,0.0,0.0,0.0,0.0,0.0,0.0
16,NYSED_SRC2022,1.0,0.5,0.6666666666666666,0.8333333333333334,0.625,0.7142857142857143
17,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,0.2,0.3333333333333333,0.25
18,NTSB,1.0,1.0,1.0,1.0,1.0,1.0
19,KlamathInvasiveSpecies,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5
20,KlamathInvasiveSpecies,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.25
21,PacificIslandLandbirds,1.0,0.25,0.4,1.0,0.14285714285714285,0.25
22,SBODemoUS-Finance,0.16666666666666666,1.0,0.2857142857142857,0.5,0.3333333333333333,0.4
23,CratersWildlifeObservations,1.0,1.0,1.0,1.0,0.75,0.8571428571428571
24,CratersWildlifeObservations,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
25,NYSED_SRC2022,0.5,0.5,0.5,0.5,0.5,0.5
26,NTSB,0.5,0.5,0.5,0.4,0.3333333333333333,0.3636363636363636
27,SBODemoUS-Service,0.3333333333333333,0.5,0.4,0.0,0.0,0.0
28,PacificIslandLandbirds,1.0,0.25,0.4,1.0,0.2,0.33333333333333337
29,NTSB,0.5,0.3333333333333333,0.4,0.0,0.0,0.0
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
31,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
32,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
33,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
34,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
35,NTSB,1.0,1.0,1.0,1.0,1.0,1.0
36,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
37,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
38,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
39,ATBI,0.5,0.5,0.5,0.5,0.25,0.3333333333333333
40,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
41,SBODemoUS-Banking,0.5,0.5,0.5,0.0,0.0,0.0
